ate,rate,duration,front_cloud_match_num,back_cloud_match_num,front_kf_num,back_kf_num,lost_timestamp,new_map_timestamp,lost_time,sum_bag_size,sum_nosampling_bag_size,ref_traj_duration,est_traj_duration,speed,nosampling_speed,subdir
0.0164252,0.926043,45.2961,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_36_11
0.0182403,0.933067,67.4866,135.0,72.0,2.0,2.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_06_33
0.0294848,0.931562,66.9553,123.0,70.0,2.0,2.0,9.5,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-15_02_47
0.0168896,0.927381,45.6622,0.0,0.0,5.0,5.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.2,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-11_22_07
0.0201281,0.927381,62.1676,109.0,87.0,2.0,2.0,9.6,14.8,1.0,0.0,0.0,49.9,22.2,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_30_11
0.0163996,0.931562,74.4604,811.0,789.0,10.0,10.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_09_29
0.0174082,0.931562,69.5969,350.0,263.0,5.0,5.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_40_37
0.0156059,0.926043,46.0404,0.0,0.0,5.0,5.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-11_23_58
0.0166808,0.928885,45.7263,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.2,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_12_31
0.0159839,0.931562,70.8445,371.0,314.0,5.0,5.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-11_29_44
0.0164537,0.926043,45.9371,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_27_28
0.0167597,0.926043,46.0935,0.0,0.0,10.0,10.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_04_20
0.0120549,0.900945,93.6024,2484.0,3054.0,20.0,20.0,9.6,14.8,1.0,0.0,0.0,49.9,21.5,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-15_49_52
0.0185424,0.931562,76.237,751.0,882.0,10.0,10.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-09_56_21
0.0163815,0.926043,45.664,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_13_28
0.0122679,0.907976,92.1811,2546.0,3314.0,20.0,20.0,9.6,14.8,1.0,0.0,0.0,49.9,21.7,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-15_44_52
0.0170646,0.926043,45.363,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_42_38
0.0146018,0.863295,73.5498,759.0,760.0,10.0,10.0,9.6,14.8,1.0,0.0,0.0,49.9,20.6,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_28_33
0.0160406,0.926043,46.0012,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-15_52_31
0.0163869,0.926043,45.4365,0.0,0.0,2.0,2.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_45_54
0.0166054,0.926043,45.5991,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-16_06_59
0.017351,0.931562,74.5501,682.0,737.0,10.0,10.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_15_07
0.0125042,0.903786,93.8299,2808.0,3282.0,20.0,20.0,9.6,14.8,1.0,0.0,0.0,49.9,21.6,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-16_30_44
0.0163722,0.926043,45.4508,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-16_11_09
0.0178435,0.931562,75.5426,930.0,808.0,10.0,10.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_08_02
0.0160178,0.926043,45.2941,0.0,0.0,5.0,5.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_38_47
0.0468778,0.931562,68.0298,122.0,107.0,2.0,2.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_17_53
